State,Law,Intervention,InterventionYear,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Predictions,MeanPre,SDPre,Zscore
AK,ccbackground,removal,2003,26,15,19,22,23,20,23,27,22,17,20,24,20,21,18,22,39,45,20.5,21,4.18330013267038,-0.119522860933439
AK,ccrevoke,removal,2003,26,15,19,22,23,20,23,27,22,17,20,24,20,21,18,22,39,45,20.5,21,4.18330013267038,-0.119522860933439
AK,permitconcealed,removal,2003,26,15,19,22,23,20,23,27,22,17,20,24,20,21,18,22,39,45,20.5,21,4.18330013267038,-0.119522860933439
AK,nosyg,removal,2013,26,15,19,22,23,20,23,27,22,17,20,24,20,21,18,22,39,45,20.5,21.1333333333333,3.24844285041017,-0.194965207177145
CO,gunshow,implemented,2001,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,120,140,83,81.3333333333333,17.2433562085034,0.0966555841283827
CO,gunshowh,implemented,2001,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,120,140,83,81.3333333333333,17.2433562085034,0.0966555841283827
CO,statechecks,implemented,2001,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,120,140,83,81.3333333333333,17.2433562085034,0.0966555841283827
CO,statechecksh,implemented,2001,100,66,78,100,111,128,108,99,91,83,88,80,77,83,88,97,120,140,83,81.3333333333333,17.2433562085034,0.0966555841283827
CT,relinquishment,implemented,2002,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,66.25,13.4008706184835,0.130588530388934
CT,age18longgunpossess,implemented,2013,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,67.3333333333333,13.6416728481238,0.0488698617895943
CT,age18longgunsale,implemented,2013,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,67.3333333333333,13.6416728481238,0.0488698617895943
CT,amm18,implemented,2013,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,67.3333333333333,13.6416728481238,0.0488698617895943
CT,amm21h,implemented,2013,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,67.3333333333333,13.6416728481238,0.0488698617895943
CT,ammbackground,implemented,2013,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,67.3333333333333,13.6416728481238,0.0488698617895943
CT,ammpermit,implemented,2013,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,67.3333333333333,13.6416728481238,0.0488698617895943
CT,ammrestrict,implemented,2013,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,67.3333333333333,13.6416728481238,0.0488698617895943
CT,magazine,implemented,2013,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,67.3333333333333,13.6416728481238,0.0488698617895943
CT,onefeature,implemented,2013,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,67.3333333333333,13.6416728481238,0.0488698617895943
CT,tenroundlimit,implemented,2013,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,67.3333333333333,13.6416728481238,0.0488698617895943
CT,violent,implemented,2013,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,67.3333333333333,13.6416728481238,0.0488698617895943
CT,permit,implemented,2014,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,66.5625,13.5349855313308,0.106206245782271
CT,exparte,implemented,2016,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,65.6666666666667,13.8987938537211,0.167880274928218
CT,expartedating,implemented,2016,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,65.6666666666667,13.8987938537211,0.167880274928218
CT,expartesurrender,implemented,2016,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,65.6666666666667,13.8987938537211,0.167880274928218
CT,expartesurrenderdating,implemented,2016,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,65.6666666666667,13.8987938537211,0.167880274928218
CT,expartesurrendernoconditions,implemented,2016,77,59,78,51,46,54,56,65,62,77,67,85,90,84,59,55,73,44,68,65.6666666666667,13.8987938537211,0.167880274928218
ME,danger,implemented,2008,15,6,6,8,8,9,8,12,14,13,8,14,19,15,16,10,16,13,10.5,9.9,3.31494930412048,0.180998243096568
ME,invcommitment,implemented,2008,15,6,6,8,8,9,8,12,14,13,8,14,19,15,16,10,16,13,10.5,9.9,3.31494930412048,0.180998243096568
MO,ccbackground,removal,2003,213,229,237,229,195,236,286,239,268,358,279,313,280,285,278,317,410,438,221,220.6,16.7570880525227,0.0238704958013148
MO,ccbackgroundnics,removal,2003,213,229,237,229,195,236,286,239,268,358,279,313,280,285,278,317,410,438,221,220.6,16.7570880525227,0.0238704958013148
MO,immunity,removal,2003,213,229,237,229,195,236,286,239,268,358,279,313,280,285,278,317,410,438,221,220.6,16.7570880525227,0.0238704958013148
MO,mayissue,removal,2003,213,229,237,229,195,236,286,239,268,358,279,313,280,285,278,317,410,438,221,220.6,16.7570880525227,0.0238704958013148
MO,showing,removal,2003,213,229,237,229,195,236,286,239,268,358,279,313,280,285,278,317,410,438,221,220.6,16.7570880525227,0.0238704958013148
NE,mcdv,implemented,2009,7,17,8,8,6,16,6,5,8,9,28,37,43,41,41,36,37,30,12,10.7272727272727,6.94393129417204,0.183286270962309
NE,mcdvdating,implemented,2009,7,17,8,8,6,16,6,5,8,9,28,37,43,41,41,36,37,30,12,10.7272727272727,6.94393129417204,0.183286270962309
NE,preemption,removal,2009,7,17,8,8,6,16,6,5,8,9,28,37,43,41,41,36,37,30,12,10.7272727272727,6.94393129417204,0.183286270962309
NH,nosyg,removal,2011,4,5,7,9,2,4,7,3,5,2,4,5,6,9,5,8,7,10,4.5,4.84615384615385,2.0349510168615,-0.17010426456737
NY,microstamp,implemented,2001,512,576,525,528,553,508,502,413,479,462,449,497,426,396,346,336,386,380,544,537.666666666667,33.8279962949823,0.187221651501505
OR,invoutpatient,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,45.5,45.9411764705882,5.73879983353765,-0.0768760861826873
OR,recordsall,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,45.5,45.9411764705882,5.73879983353765,-0.0768760861826873
OR,recordsallh,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,45.5,45.9411764705882,5.73879983353765,-0.0768760861826873
OR,reportall,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,45.5,45.9411764705882,5.73879983353765,-0.0768760861826873
OR,reportallh,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,45.5,45.9411764705882,5.73879983353765,-0.0768760861826873
OR,universal,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,45.5,45.9411764705882,5.73879983353765,-0.0768760861826873
OR,universalh,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,45.5,45.9411764705882,5.73879983353765,-0.0768760861826873
OR,universalpermit,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,45.5,45.9411764705882,5.73879983353765,-0.0768760861826873
OR,universalpermith,implemented,2015,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,45.5,45.9411764705882,5.73879983353765,-0.0768760861826873
OR,dvro,implemented,2016,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,45.5,46.3888888888889,5.88256535564193,-0.151105654616545
OR,mcdv,implemented,2016,45,46,41,39,40,59,56,53,40,41,43,46,50,43,47,47,45,54,45.5,46.3888888888889,5.88256535564193,-0.151105654616545
SD,ccbackground,implemented,2002,5,1,4,3,4,5,6,1,4,10,8,8,8,5,4,8,10,8,3,3.25,1.70782512765993,-0.14638501094228
VA,dealerh,removal,2004,239,248,215,246,267,238,298,248,251,232,239,241,203,209,221,222,260,349,243.5,242.166666666667,16.9164614109058,0.0788186903245473
VA,permith,removal,2004,239,248,215,246,267,238,298,248,251,232,239,241,203,209,221,222,260,349,243.5,242.166666666667,16.9164614109058,0.0788186903245473
VA,invoutpatient,implemented,2008,239,248,215,246,267,238,298,248,251,232,239,241,203,209,221,222,260,349,243.5,248.2,22.1098268750446,-0.212575160654238
VA,onepermonth,removal,2012,239,248,215,246,267,238,298,248,251,232,239,241,203,209,221,222,260,349,243.5,241,23.842431471256,0.10485507751229
VA,dvro,implemented,2016,239,248,215,246,267,238,298,248,251,232,239,241,203,209,221,222,260,349,243.5,245.888888888889,34.0810260976585,-0.0700943945186266
